category,foodname,weight,edible,energy,protein,fat,cho,dietaryfiber,ash,cholesterol,vitaminA,retinol,vitaminE,vitaminB1,vitaminB2,vitaminB3,calcium,phosphorous,potassium,sodium,magnesium,iron,zinc,selenium,copper,manganese,food_id,vitaminC
Poultry&Poultry Products,Duck_beast,100,100,90,15,1.5,4,0,0.9,121,0,0,1.98,0.01,0.07,4.2,6,86,126,60.2,24,4.1,1.17,12.62,0.27,0.01,48,0
Poultry&Poultry Products,Duck_heart,100,100,143,12.8,8.9,2.9,0,0.9,120,0,24,0.81,0.14,0.87,8,20,188,233,86.2,18,5,1.38,15.3,0.37,0,49,0
Poultry&Poultry Products,Duck_gizzard,100,93,92,17.9,1.3,2.1,0,0.9,153,0,6,0.21,0.04,0.15,4.4,12,134,284,69.2,18,4.3,2.77,15.95,0.18,0.08,50,0
Poultry&Poultry Products,Duck_pancreas,100,97,117,21.7,2.9,1,0,1.8,230,0,6,9,0.02,0.78,3.2,20,554,84,55.7,41,1.9,4.16,26.2,0.08,0.05,51,9
Poultry&Poultry Products,Duck_liver,100,100,128,14.5,7.5,0.5,0,1.2,341,0,1040,1.41,0.26,1.05,6.9,18,283,230,87.2,18,23.1,3.08,57.27,1.31,0.28,52,18
Poultry&Poultry Products,Duck_skin,100,100,538,6.5,50.2,15.1,0,0.1,46,0,21,0,0.01,0.04,1,6,42,38,26.2,0,3.1,0.64,4.7,0,0,53,0
Poultry&Poultry Products,Duck_intestine,100,53,129,14.2,7.8,0.4,0,0.6,187,0,16,0,0.02,0.22,3.1,31,166,136,32,13,2.3,1.19,24.9,0.18,0,54,0
Poultry&Poultry Products,"""Beijing"" white duck_blood",100,100,108,13.6,0.4,12.4,0,1,95,0,0,0.34,0.06,0.06,0,5,87,166,173.6,8,30.5,0.5,0,0.06,0.14,55,0
Milk & Eggs,Yougurt,100,100,72,2.5,2.7,9.3,0,0.8,15,0,26,0.12,0.03,0.15,0.2,118,85,150,39.8,12,0.4,0.53,1.71,0.03,0.02,56,1
Milk & Eggs,Cheese_white_semisoft,100,100,328,25.7,23.5,3.5,0,3.8,11,0,152,0.6,0.06,0.91,0.6,799,326,75,584.6,57,2.4,6.97,1.5,0.13,0.16,57,0
Milk & Eggs,Butter_clarified,100,100,888,1.4,98,0,0,0.1,296,0,0,0,0,0.02,0,35,8,39,40.3,7,0.8,0.11,1.6,0.01,0.05,58,0
Milk & Eggs,Chicken_egg_whole_white shell,100,87,138,12.7,9,1.5,0,1,585,0,310,1.23,0.09,0.31,0.2,48,176,98,94.7,14,2,1,16.55,0.06,0.03,59,0
Milk & Eggs,Chicken_egg_brown shell_whole,100,87,143,12.2,10.5,0,0,0.8,0,0,0,0.84,0.05,0.11,0,44,182,121,125.7,11,1,0.38,13.83,0,0.01,60,0
Milk & Eggs,Duck_egg_whole,100,87,180,12.6,13,3.1,0,1,565,0,261,4.98,0.17,0.35,0.2,62,226,135,106,13,2.9,1.67,15.68,0.11,0.04,61,0
Milk & Eggs,Quail egg_whole,100,86,160,12.8,11.1,2.1,0,1,515,0,337,3.08,0.11,0.49,0.1,47,180,138,106.6,11,3.2,1.61,25.48,0.09,0.04,62,0
Fish_Shelfish&Mollusc,"""Silver fish""_fresh water_estuarine",100,100,105,17.2,4,0,0,2.6,361,0,0,1.86,0.03,0.05,0.2,46,22,246,8.6,25,0.9,0.16,9.54,0,0.07,63,0
Fish_Shelfish&Mollusc,Hairtail or belt fish_marine,100,76,127,17.7,4.9,3.1,0,1,76,0,29,0.82,0.02,0.06,2.8,28,191,280,150.1,43,1.2,0.7,36.57,0.08,0.17,64,0
Fish_Shelfish&Mollusc,Tougue fish_flatfish_left-eye_marine,100,68,83,17.7,1.4,0,0,1.2,82,0,6,0.64,0.03,0.05,2.1,57,168,309,138.8,27,1.5,0.05,34.63,0.04,0.04,65,0
Fish_Shelfish&Mollusc,Japanese sea bass_marine_estuarine,100,58,105,18.6,3.4,0,0,1.5,86,0,19,0.75,0.03,0.17,3.1,138,242,205,144.1,37,2,2.83,33.06,0.05,0.04,66,0
Fish_Shelfish&Mollusc,"Spanish mackerel_""Kingfish ""_marine",100,80,121,21.1,3.1,2.1,0,1.1,75,0,19,0.71,0.03,0.04,2.1,35,130,370,74.2,50,0.8,1.39,51.81,0.37,0.03,67,0
Fish_Shelfish&Mollusc,Cherry salmon_anadromous,100,72,139,17.2,7.8,0,0,0.9,68,0,45,0.78,0.07,0.18,4.4,13,154,361,63.3,36,0.3,1.11,29.47,0.03,0.02,68,0
